STATISTIC: the truncation K*_R at which
           sum_{k<K}(log k)|R(N;k)| first reaches
           S(N)(1-A(N))N, and its exponent log K*_R / log N,
           at every N = 30030*m with m composed of
           2,3,5,7,11,13 and m in [2^6, 2^10]; within each
           closed octave of m, the least-squares slope of that
           exponent against log N, its standard error from
           that octave's own points, and its r.m.s. residual
           against the ladder's published scatter; the four
           local slopes against the eleven-rung global slope
           and against log N; and five shapes refitted on the
           union of this sweep with the twelve published
           rungs, their r.m.s., how many survive at one
           standard error of the best, and where each puts
           1/2 and theta' = 0.56.
NULL: none is run and none applies. A deterministic curve is
      located against a computed threshold; there is no
      background to detect against. The coin arms for this
      statistic were run in lab_primorial_ladder.py and
      lab_primorial_share.py, and the scatter they left is
      the floor D3 is judged against.
FIELD: N = 30030*m for every 13-smooth m in [64, 1024]; every
       one has prime set {2,3,5,7,11,13}, so the odd radical
       3*5*7*11*13 and the threshold are fixed exactly as
       along the ladder; k squarefree and coprime to N with
       2 <= k < 100000; m odd, squarefree and
       coprime to k, m < N/k; the sieve weight over the odd
       primes below 30; the Euler products at
       the fixed bound 4000000; the measurement is
       imported from code/audit_primorial_gap.py. The eleven
       rungs and the ladder scatter are read from
       results/audit_primorial_rung10.txt, the twelfth from
       results/audit_primorial_rung11.txt and the published
       shape table from results/audit_ladder_shape12.txt.

read from results/audit_primorial_rung10.txt: 11 rungs and their scatter 0.0037;
  from results/audit_primorial_rung11.txt the twelfth, N = 61501440 at 0.5099;
  from results/audit_ladder_shape12.txt 5 published shape rows, whose
  two survivors split theta' by 2.7845 decades.
  the measurement itself is imported from code/audit_primorial_gap.py,
  not copied, so the sweep and the rungs cannot drift apart.

the sweep: N = 30030*m, m composed of 2, 3, 5, 7, 11, 13
  octave   m range        points   log10 N range
  6        [64, 128]      29       6.2837 .. 6.5848
  7        [128, 256]     41       6.5848 .. 6.8858
  8        [256, 512]     57       6.8858 .. 7.1868
  9        [512, 1024]    78       7.1868 .. 7.4879
  union of the four octaves: 202 distinct N, the endpoints shared

sieving to 30750720, sieve weight over the odd primes 3, 5, 7, 11, 13, 17, 19, 23, 29

  N            log10 N   m       thr/N      #k      K*_R     exponent
  1921920      6.2837    64      0.087306   18863   1159     0.4876
  1951950      6.2905    65      0.087306   18863   1139     0.4859
  1981980      6.2971    66      0.087306   18863   1033     0.4786
  2102100      6.3227    70      0.087306   18863   1159     0.4846
  2162160      6.3349    72      0.087306   18863   1073     0.4784
  2252250      6.3526    75      0.087306   18863   1219     0.4858
  2312310      6.3640    77      0.087306   18863   1063     0.4756
  2342340      6.3696    78      0.087306   18863   1277     0.4877
  2402400      6.3806    80      0.087306   18863   1231     0.4843
  2432430      6.3860    81      0.087306   18863   1277     0.4864
  2522520      6.4018    84      0.087306   18863   1187     0.4802
  2642640      6.4220    88      0.087306   18863   1307     0.4852
  2702700      6.4318    90      0.087306   18863   1279     0.4830
  2732730      6.4366    91      0.087306   18863   1301     0.4838
  2882880      6.4598    96      0.087306   18863   1409     0.4875
  2942940      6.4688    98      0.087306   18863   1171     0.4744
  2972970      6.4732    99      0.087306   18863   1447     0.4882
  3003000      6.4776    100     0.087306   18863   1429     0.4871
  3123120      6.4946    104     0.087306   18863   1457     0.4871
  3153150      6.4987    105     0.087306   18863   1301     0.4792
  3243240      6.5110    108     0.087306   18863   1387     0.4826
  3303300      6.5189    110     0.087306   18863   1303     0.4778
  3363360      6.5268    112     0.087306   18863   1349     0.4796
  3513510      6.5457    117     0.087306   18863   1363     0.4789
  3603600      6.5567    120     0.087306   18863   1643     0.4904
  3633630      6.5603    121     0.087306   18863   1499     0.4841
  3753750      6.5745    125     0.087306   18863   1571     0.4861
  3783780      6.5779    126     0.087306   18863   1433     0.4798
  3843840      6.5848    128     0.087306   18863   1501     0.4824
  3903900      6.5915    130     0.087306   18863   1483     0.4811
  3963960      6.5981    132     0.087306   18863   1571     0.4844
  4054050      6.6079    135     0.087306   18863   1613     0.4854
  4204200      6.6237    140     0.087306   18863   1933     0.4961
  4294290      6.6329    143     0.087306   18863   1693     0.4868
  4324320      6.6359    144     0.087306   18863   1763     0.4892
  4414410      6.6449    147     0.087306   18863   1763     0.4885
  4504500      6.6536    150     0.087306   18863   1997     0.4960
  4624620      6.6651    154     0.087306   18863   1817     0.4890
  4684680      6.6707    156     0.087306   18863   1829     0.4890
